what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1302738319468
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1302738327531
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1302738330484
started,bundle,org.eclipse.mylyn.ide.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ui",1302738345625
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1302738347640
opened,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1302738348593
started,bundle,org.eclipse.jdt.debug,3.5.0.v20090526,"org.eclipse.jdt.debug",1302738349046
started,bundle,org.eclipse.jdt.debug.ui,3.4.1.v20090811_r351,"org.eclipse.jdt.debug.ui",1302738349203
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1302738349296
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1302738350421
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1302738355718
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1302738370343
opened,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1302738370515
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1302738370656
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1302738372156
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1302738378937
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1302738388046
started,bundle,org.eclipse.jdt.junit,3.5.2.r352_v20100113-0800,"org.eclipse.jdt.junit",1302738388671
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1302738391609
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.saveAll",1302738407500
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1302738411078
started,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1302738411265
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1302738412109
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1302738412500
started,bundle,org.eclipse.pde.api.tools,1.0.101.v20090714,"org.eclipse.pde.api.tools",1302738416125
started,bundle,org.eclipse.pde.api.tools.ui,1.0.101.v20090820,"org.eclipse.pde.api.tools.ui",1302738416125
started,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1302738416140
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.text.contentAssist.proposals",1302738416390
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1302738417500
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.saveAll",1302738418375
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1302738421468
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1302738422296
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1302738422453
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.select.lineEnd",1302738426671
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1302738426984
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.select.wordNext",1302738429812
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.select.wordPrevious",1302738433187
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1302738434140
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.goto.lineEnd",1302738455703
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1302738464593
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.saveAll",1302738470875
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.saveAll",1302738476328
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1302738482750
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1302738483796
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1302738490671
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1302738502265
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1302738503875
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1302738505906
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1302738510203
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1302738512406
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1302738513765
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1302738515031
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1302738516578
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1302738517812
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1302738518359
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.saveAll",1302738519406
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1302738520546
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1302738523593
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1302738524484
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1302738526328
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1302738552812
activated,editor,org.eclipse.wst.xml.ui,1.1.2.v201001222130,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1302738554609
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1302738557812
started,bundle,org.eclipse.wst.internet.cache,1.0.301.v200805140020,"org.eclipse.wst.internet.cache",1302738558718
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.saveAll",1302738559640
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1302738571890
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1302738575062
opened,editor,org.eclipse.wst.xml.ui,1.1.2.v201001222130,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1302738589156
activated,editor,org.eclipse.wst.xml.ui,1.1.2.v201001222130,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1302738589218
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1302738589281
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.newWizard",1302738589312
activated,editor,org.eclipse.wst.xml.ui,1.1.2.v201001222130,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1302738592796
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.saveAll",1302738594281
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.saveAll",1302738600343
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1302738604593
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1302738604609
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.goto.lineEnd",1302738605593
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1302738605968
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.saveAll",1302738607000
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.saveAll",1302738609656
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1302738611812
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1302738612234
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1302738615671
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1302738625640
activated,editor,org.eclipse.wst.xml.ui,1.1.2.v201001222130,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1302738627218
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1302738628843
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.select.wordPrevious",1302738634328
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.select.wordNext",1302738637343
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1302738641734
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1302738644328
activated,editor,org.eclipse.wst.xml.ui,1.1.2.v201001222130,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1302738645437
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1302738646140
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.select.wordNext",1302738656937
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.saveAll",1302738660500
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1302738662093
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1302738662625
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.saveAll",1302738668578
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.saveAll",1302738672125
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1302738673531
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1302738685296
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.select.wordPrevious",1302738691953
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.select.wordPrevious",1302738701015
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1302738702140
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.goto.lineEnd",1302738703140
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.goto.lineEnd",1302738705140
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.select.wordPrevious",1302738707250
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1302738708203
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.saveAll",1302738708968
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1302738710437
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1302738762218
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1302738764312
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1302738766156
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1302738774609
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1302738805968
activated,editor,org.eclipse.wst.xml.ui,1.1.2.v201001222130,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1302738808078
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1302738812031
started,bundle,org.eclipse.xsd,2.5.0.v200906151043,"org.eclipse.xsd",1302738813281
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.goto.lineEnd",1302738823921
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.goto.lineEnd",1302738824484
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1302738825640
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1302738825906
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1302738826093
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1302738828312
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1302738828718
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1302738829218
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1302738829546
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1302738829828
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.goto.lineStart",1302738831265
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.goto.lineStart",1302738834343
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.goto.lineStart",1302738835718
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.goto.lineEnd",1302738841968
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.goto.lineStart",1302738842859
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.goto.lineStart",1302738845578
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.goto.lineStart",1302738848156
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1302738912703
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1302738956515
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.cut",1302738962234
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1302738965031
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.select.lineEnd",1302738967500
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.cut",1302738968265
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1302738971078
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.saveAll",1302738972515
activated,view,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.views.ProblemView",1302738975843
activated,editor,org.eclipse.wst.xml.ui,1.1.2.v201001222130,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1302738988484
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1302738994250
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1302739077609
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1302739089656
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1302739094671
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1302739095609
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1302739098937
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1302739115812
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1302739123734
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1302739124812
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1302739125390
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1302739134578
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1302739138328
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1302739148250
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1302739151046
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.select.wordNext",1302739161484
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.select.wordNext",1302739161718
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1302739164812
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1302739165796
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1302739167234
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1302739195046
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.saveAll",1302739201125
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1302739207234
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1302739303046
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1302739324968
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1302739328546
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1302739329609
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1302739365296
activated,editor,org.eclipse.wst.xml.ui,1.1.2.v201001222130,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1302739367515
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1302739374078
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1302739381390
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1302739383609
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1302739384625
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1302739386546
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1302739391046
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1302739490671
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1302739492625
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1302739549328
